pair_id,source_domain,lexical_tier,analysis_set,salience_design,primary_analysis,norming_status,coherence_relation,active,passive
flv_011,arts_culture,common,salience_challenge,ctl_last_separate_predicates,no,not_normed,shared_followup_need,"Before the critique exchange, <PRE> submitted one written response to the shared folder, while <CTL> submitted another written response to the shared folder. <AGT> sincerely thanked <PNT> for the thoughtful review.","Before the critique exchange, <PRE> submitted one written response to the shared folder, while <CTL> submitted another written response to the shared folder. <PNT> was sincerely thanked by <AGT> for the thoughtful review."
flv_012,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_trigger,<PRE> and <CTL> reviewed the annual showcase schedule after organizers added a public recognition segment to the closing program. <AGT> honored <PNT> at the annual showcase.,<PRE> and <CTL> reviewed the annual showcase schedule after organizers added a public recognition segment to the closing program. <PNT> was honored by <AGT> at the annual showcase.
flv_013,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_trigger,<PRE> and <CTL> read the regional arts prize announcement when nominations opened for contributors to this year's cultural programs. <AGT> nominated <PNT> for the regional arts prize.,<PRE> and <CTL> read the regional arts prize announcement when nominations opened for contributors to this year's cultural programs. <PNT> was nominated by <AGT> for the regional arts prize.
flv_014,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_preparation,<PRE> and <CTL> compared three-quarter portrait examples before a studio exercise requiring one completed painting by the end of the session. <AGT> painted <PNT> in three-quarter profile.,<PRE> and <CTL> compared three-quarter portrait examples before a studio exercise requiring one completed painting by the end of the session. <PNT> was painted by <AGT> in three-quarter profile.
flv_015,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_preparation,"During a community radio workshop, <PRE> and <CTL> contributed personal histories and tried several production roles for an experimental documentary. <AGT> portrayed <PNT> in the radio documentary.","During a community radio workshop, <PRE> and <CTL> contributed personal histories and tried several production roles for an experimental documentary. <PNT> was portrayed by <AGT> in the radio documentary."
flv_016,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_resource,<PRE> and <CTL> checked the festival program draft after one profile space reopened shortly before the publication deadline. <AGT> prominently featured <PNT> in the festival program.,<PRE> and <CTL> checked the festival program draft after one profile space reopened shortly before the publication deadline. <PNT> was prominently featured by <AGT> in the festival program.
flv_017,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_goal,<PRE> and <CTL> compared the acoustic session schedule with the studio time reserved for producing a clean demonstration track. <AGT> recorded <PNT> during the acoustic session.,<PRE> and <CTL> compared the acoustic session schedule with the studio time reserved for producing a clean demonstration track. <PNT> was recorded by <AGT> during the acoustic session.
flv_018,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_preparation,<PRE> and <CTL> reviewed the most difficult passage before the staged reading's final preparation period began. <AGT> patiently coached <PNT> before the staged reading.,<PRE> and <CTL> reviewed the most difficult passage before the staged reading's final preparation period began. <PNT> was patiently coached by <AGT> before the staged reading.
flv_019,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_resource,<PRE> and <CTL> examined the costume archive's newly issued floor plan before the scheduled collection review began. <AGT> guided <PNT> through the costume archive.,<PRE> and <CTL> examined the costume archive's newly issued floor plan before the scheduled collection review began. <PNT> was guided by <AGT> through the costume archive.
flv_020,arts_culture,uncommon,salience_challenge,ctl_last_separate_predicates,no,not_normed,shared_resource,"At the street fair portrait booth, <PRE> examined one sample portrait, while <CTL> examined another sample portrait. <AGT> quickly caricatured <PNT> during the street fair.","At the street fair portrait booth, <PRE> examined one sample portrait, while <CTL> examined another sample portrait. <PNT> was quickly caricatured by <AGT> during the street fair."
flv_021,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_trigger,<PRE> and <CTL> checked the studio opening time after a message announced that the entrance would be unlocked for arrivals. <AGT> warmly welcomed <PNT> at the studio entrance.,<PRE> and <CTL> checked the studio opening time after a message announced that the entrance would be unlocked for arrivals. <PNT> was warmly welcomed by <AGT> at the studio entrance.
flv_022,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_followup_need,<PRE> and <CTL> reviewed the exhibition catalog proofs after the contributor list was returned with one attribution still unresolved. <AGT> credited <PNT> in the exhibition catalog.,<PRE> and <CTL> reviewed the exhibition catalog proofs after the contributor list was returned with one attribution still unresolved. <PNT> was credited by <AGT> in the exhibition catalog.
flv_023,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_trigger,<PRE> and <CTL> examined the latest stage mockup after the lighting plan produced uneven shadows across the central performance area. <AGT> briefly consulted <PNT> about the lighting design.,<PRE> and <CTL> examined the latest stage mockup after the lighting plan produced uneven shadows across the central performance area. <PNT> was briefly consulted by <AGT> about the lighting design.
flv_024,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_resource,<PRE> and <CTL> arrived for rehearsal after learning that only one printed copy of the updated performance sequence would be available. <AGT> briefed <PNT> on the revised running order.,<PRE> and <CTL> arrived for rehearsal after learning that only one printed copy of the updated performance sequence would be available. <PNT> was briefed by <AGT> on the revised running order.
flv_025,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_trigger,<PRE> and <CTL> reviewed the timing of the second entrance after the previous rehearsal exposed a delay in the transition. <AGT> discreetly cued <PNT> before the second entrance.,<PRE> and <CTL> reviewed the timing of the second entrance after the previous rehearsal exposed a delay in the transition. <PNT> was discreetly cued by <AGT> before the second entrance.
flv_026,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_preparation,<PRE> and <CTL> discussed the closing scene's intended pace before the company resumed work on its final sequence. <AGT> calmly directed <PNT> through the closing scene.,<PRE> and <CTL> discussed the closing scene's intended pace before the company resumed work on its final sequence. <PNT> was calmly directed by <AGT> through the closing scene.
flv_027,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_resource,<PRE> and <CTL> checked the balcony access notice after the concert hall opened a reserved section for the evening performance. <AGT> escorted <PNT> to the reserved balcony.,<PRE> and <CTL> checked the balcony access notice after the concert hall opened a reserved section for the evening performance. <PNT> was escorted by <AGT> to the reserved balcony.
flv_028,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_followup_need,"<PRE> and <CTL> compared notes after the final passage ended, discussing how its restrained delivery changed the scene's emotional weight. <AGT> praised <PNT> for the subtle interpretation.","<PRE> and <CTL> compared notes after the final passage ended, discussing how its restrained delivery changed the scene's emotional weight. <PNT> was praised by <AGT> for the subtle interpretation."
flv_029,arts_culture,common,salience_challenge,pre_last_separate_predicates,no,not_normed,shared_occasion,"After the premiere ended, <CTL> joined one lobby conversation about the production, while <PRE> joined another lobby conversation about the production. <AGT> warmly congratulated <PNT> after the premiere.","After the premiere ended, <CTL> joined one lobby conversation about the production, while <PRE> joined another lobby conversation about the production. <PNT> was warmly congratulated by <AGT> after the premiere."
flv_030,arts_culture,uncommon,core,balanced_shared_predicate,yes,not_normed,shared_goal,<PRE> and <CTL> enrolled together in a summer repertory program built around season-long peer development partnerships. <AGT> mentored <PNT> throughout the summer repertory.,<PRE> and <CTL> enrolled together in a summer repertory program built around season-long peer development partnerships. <PNT> was mentored by <AGT> throughout the summer repertory.
flv_031,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_occasion,"At the community arts dinner, <PRE> and <CTL> joined volunteers beside a display documenting the year's neighborhood projects as speeches began. <AGT> publicly recognized <PNT> at the community arts dinner.","At the community arts dinner, <PRE> and <CTL> joined volunteers beside a display documenting the year's neighborhood projects as speeches began. <PNT> was publicly recognized by <AGT> at the community arts dinner."
flv_032,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_trigger,<PRE> and <CTL> identified the difficult passage as the next rehearsal focus after the ensemble completed an easier section. <AGT> quietly encouraged <PNT> during the difficult passage.,<PRE> and <CTL> identified the difficult passage as the next rehearsal focus after the ensemble completed an easier section. <PNT> was quietly encouraged by <AGT> during the difficult passage.
flv_033,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_trigger,<PRE> and <CTL> assessed the oversized canvas after its frame caught against the narrow studio doorway. <AGT> assisted <PNT> with the oversized canvas.,<PRE> and <CTL> assessed the oversized canvas after its frame caught against the narrow studio doorway. <PNT> was assisted by <AGT> with the oversized canvas.
flv_034,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_preparation,<PRE> and <CTL> reviewed the improvised sequence's opening pattern before the workshop leader called for a paired demonstration. <AGT> closely followed <PNT> through the improvised sequence.,<PRE> and <CTL> reviewed the improvised sequence's opening pattern before the workshop leader called for a paired demonstration. <PNT> was closely followed by <AGT> through the improvised sequence.
flv_035,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_followup_need,<PRE> and <CTL> confirmed the theater entrance as the gathering point after the original meeting location became unavailable. <AGT> met <PNT> beside the theater entrance.,<PRE> and <CTL> confirmed the theater entrance as the gathering point after the original meeting location became unavailable. <PNT> was met by <AGT> beside the theater entrance.
flv_036,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_trigger,"After a printmaking station opened unexpectedly, <PRE> and <CTL> checked whether the next demonstration still required a pair. <AGT> approached <PNT> near the printmaking tables.","After a printmaking station opened unexpectedly, <PRE> and <CTL> checked whether the next demonstration still required a pair. <PNT> was approached by <AGT> near the printmaking tables."
flv_037,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_resource,<PRE> and <CTL> requested archive access after staff announced a single listening appointment for an undigitized recording relevant to their shared research. <AGT> directly contacted <PNT> about the archival recording.,<PRE> and <CTL> requested archive access after staff announced a single listening appointment for an undigitized recording relevant to their shared research. <PNT> was directly contacted by <AGT> about the archival recording.
flv_038,arts_culture,common,salience_challenge,pre_last_separate_predicates,no,not_normed,shared_preparation,"<CTL> posted opening hours for one workspace in the neighborhood arts walk, while <PRE> posted opening hours for another workspace in the neighborhood arts walk. <AGT> visited <PNT> during the open studio.","<CTL> posted opening hours for one workspace in the neighborhood arts walk, while <PRE> posted opening hours for another workspace in the neighborhood arts walk. <PNT> was visited by <AGT> during the open studio."
flv_039,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_goal,<PRE> and <CTL> reviewed the regional residency requirements for a summer application expected to require several rounds of revisions. <AGT> consistently supported <PNT> throughout the residency application.,<PRE> and <CTL> reviewed the regional residency requirements for a summer application expected to require several rounds of revisions. <PNT> was consistently supported by <AGT> throughout the residency application.
flv_040,arts_culture,uncommon,core,balanced_shared_predicate,yes,not_normed,shared_preparation,<PRE> and <CTL> examined the hand-dyed wool coat after the wardrobe plan assigned it to the production's next costume fitting. <AGT> carefully costumed <PNT> in a hand-dyed wool coat.,<PRE> and <CTL> examined the hand-dyed wool coat after the wardrobe plan assigned it to the production's next costume fitting. <PNT> was carefully costumed by <AGT> in a hand-dyed wool coat.
flv_041,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_followup_need,<PRE> and <CTL> reviewed the quarterly arts journal's upcoming theme after editors requested a detailed profile of one local contributor. <AGT> extensively profiled <PNT> in the quarterly arts journal.,<PRE> and <CTL> reviewed the quarterly arts journal's upcoming theme after editors requested a detailed profile of one local contributor. <PNT> was extensively profiled by <AGT> in the quarterly arts journal.
flv_042,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_trigger,<PRE> and <CTL> checked the evening schedule after a guest-reading slot opened unexpectedly in the literary program. <AGT> announced <PNT> as the evening's guest reader.,<PRE> and <CTL> checked the evening schedule after a guest-reading slot opened unexpectedly in the literary program. <PNT> was announced by <AGT> as the evening's guest reader.
flv_043,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_trigger,<PRE> and <CTL> reviewed the regional residency criteria when the foundation opened sponsorships for artists connected to local programs. <AGT> sponsored <PNT> for the regional residency.,<PRE> and <CTL> reviewed the regional residency criteria when the foundation opened sponsorships for artists connected to local programs. <PNT> was sponsored by <AGT> for the regional residency.
flv_044,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_trigger,<PRE> and <CTL> reviewed the weekend retrospective itinerary after a venue closure moved several small program gatherings into participants' homes. <AGT> graciously hosted <PNT> during the weekend retrospective.,<PRE> and <CTL> reviewed the weekend retrospective itinerary after a venue closure moved several small program gatherings into participants' homes. <PNT> was graciously hosted by <AGT> during the weekend retrospective.
flv_045,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_resource,<PRE> and <CTL> compared the chamber concert's start time with the transit schedule after an evening route changed. <AGT> accompanied <PNT> to the chamber concert.,<PRE> and <CTL> compared the chamber concert's start time with the transit schedule after an evening route changed. <PNT> was accompanied by <AGT> to the chamber concert.
flv_046,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_followup_need,<PRE> and <CTL> reviewed the oral history project topic guide after archivists requested one firsthand account for the next collection. <AGT> carefully interviewed <PNT> for the oral history project.,<PRE> and <CTL> reviewed the oral history project topic guide after archivists requested one firsthand account for the next collection. <PNT> was carefully interviewed by <AGT> for the oral history project.
flv_047,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_preparation,<PRE> and <CTL> compared the marquee lighting schedule before a theater portrait session planned for the short interval after dusk. <AGT> photographed <PNT> beneath the marquee lights.,<PRE> and <CTL> compared the marquee lighting schedule before a theater portrait session planned for the short interval after dusk. <PNT> was photographed by <AGT> beneath the marquee lights.
flv_048,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_preparation,<PRE> and <CTL> reviewed the panel agenda after organizers added a brief speaker introduction before the opening question. <AGT> briefly introduced <PNT> before the panel discussion.,<PRE> and <CTL> reviewed the panel agenda after organizers added a brief speaker introduction before the opening question. <PNT> was briefly introduced by <AGT> before the panel discussion.
flv_049,arts_culture,common,core,balanced_shared_predicate,yes,not_normed,shared_occasion,<PRE> and <CTL> discussed the production's final scene before the scheduled performance and its full-company curtain call. <AGT> enthusiastically applauded <PNT> at the curtain call.,<PRE> and <CTL> discussed the production's final scene before the scheduled performance and its full-company curtain call. <PNT> was enthusiastically applauded by <AGT> at the curtain call.
flv_050,arts_culture,uncommon,core,balanced_shared_predicate,yes,not_normed,shared_trigger,<PRE> and <CTL> reviewed the arts center's blank courtyard wall after funding became available for a permanent ceramic mural. <AGT> formally commissioned <PNT> to create the ceramic mural.,<PRE> and <CTL> reviewed the arts center's blank courtyard wall after funding became available for a permanent ceramic mural. <PNT> was formally commissioned by <AGT> to create the ceramic mural.
flv_051,travel_public,common,core,balanced_shared_predicate,yes,not_normed,shared_occasion,<PRE> and <CTL> converged at the ferry gate for a group trip after reaching the terminal by separate routes. <AGT> warmly greeted <PNT> beside the ferry gate.,<PRE> and <CTL> converged at the ferry gate for a group trip after reaching the terminal by separate routes. <PNT> was warmly greeted by <AGT> beside the ferry gate.
flv_052,travel_public,common,salience_challenge,ctl_last_separate_predicates,no,not_normed,shared_preparation,"<PRE> consulted one posted map for directions through customs, while <CTL> consulted another posted map for directions through customs. <AGT> patiently guided <PNT> through the customs hall.","<PRE> consulted one posted map for directions through customs, while <CTL> consulted another posted map for directions through customs. <PNT> was patiently guided by <AGT> through the customs hall."
flv_053,travel_public,common,core,balanced_shared_predicate,yes,not_normed,shared_goal,<PRE> and <CTL> chose the harbor promenade as the backdrop for a set of travel portraits before sunset. <AGT> carefully photographed <PNT> on the harbor promenade.,<PRE> and <CTL> chose the harbor promenade as the backdrop for a set of travel portraits before sunset. <PNT> was carefully photographed by <AGT> on the harbor promenade.
flv_054,travel_public,common,core,balanced_shared_predicate,yes,not_normed,shared_preparation,<PRE> and <CTL> prepared to move an oversized suitcase from the shuttle drop-off into the station before boarding. <AGT> readily helped <PNT> with the oversized suitcase.,<PRE> and <CTL> prepared to move an oversized suitcase from the shuttle drop-off into the station before boarding. <PNT> was readily helped by <AGT> with the oversized suitcase.
flv_055,travel_public,common,core,balanced_shared_predicate,yes,not_normed,shared_preparation,<PRE> and <CTL> boarded a replacement shuttle after agreeing to keep each other's luggage secure during the disrupted transfer. <AGT> sincerely thanked <PNT> after the shuttle ride.,<PRE> and <CTL> boarded a replacement shuttle after agreeing to keep each other's luggage secure during the disrupted transfer. <PNT> was sincerely thanked by <AGT> after the shuttle ride.
flv_056,travel_public,common,core,balanced_shared_predicate,yes,not_normed,shared_goal,<PRE> and <CTL> set out for the same connecting gate as construction narrowed the covered concourse ahead. <AGT> closely followed <PNT> along the covered concourse.,<PRE> and <CTL> set out for the same connecting gate as construction narrowed the covered concourse ahead. <PNT> was closely followed by <AGT> along the covered concourse.
flv_057,travel_public,common,core,balanced_shared_predicate,yes,not_normed,shared_resource,<PRE> and <CTL> received one shared access pass after construction required travel pairs to follow a temporary corridor to the riverside platform. <AGT> calmly escorted <PNT> to the riverside platform.,<PRE> and <CTL> received one shared access pass after construction required travel pairs to follow a temporary corridor to the riverside platform. <PNT> was calmly escorted by <AGT> to the riverside platform.
flv_058,travel_public,common,core,balanced_shared_predicate,yes,not_normed,shared_followup_need,<PRE> and <CTL> agreed to regroup after baggage claim because their arriving flight's suitcases were split between carousels. <AGT> briefly called <PNT> from the baggage carousel.,<PRE> and <CTL> agreed to regroup after baggage claim because their arriving flight's suitcases were split between carousels. <PNT> was briefly called by <AGT> from the baggage carousel.
flv_059,travel_public,common,core,balanced_shared_predicate,yes,not_normed,shared_occasion,<PRE> and <CTL> approached the visitor center from different entrances for a scheduled walking tour that was about to begin. <AGT> finally greeted <PNT> outside the visitor center.,<PRE> and <CTL> approached the visitor center from different entrances for a scheduled walking tour that was about to begin. <PNT> was finally greeted by <AGT> outside the visitor center.
flv_060,travel_public,uncommon,core,balanced_shared_predicate,yes,not_normed,shared_preparation,"During the inn's route-training week, <PRE> and <CTL> reported to its airport desk with identical authorization for the guest vehicles. <AGT> smoothly chauffeured <PNT> from the airport to the hilltop inn.","During the inn's route-training week, <PRE> and <CTL> reported to its airport desk with identical authorization for the guest vehicles. <PNT> was smoothly chauffeured by <AGT> from the airport to the hilltop inn."
flv_061,travel_public,common,salience_challenge,ctl_last_separate_predicates,no,not_normed,shared_occasion,"<PRE> arrived at one hostel entrance for the evening reunion, while <CTL> arrived at another hostel entrance for the evening reunion. <AGT> cheerfully welcomed <PNT> in the hostel courtyard.","<PRE> arrived at one hostel entrance for the evening reunion, while <CTL> arrived at another hostel entrance for the evening reunion. <PNT> was cheerfully welcomed by <AGT> in the hostel courtyard."
flv_062,travel_public,common,core,balanced_shared_predicate,yes,not_normed,shared_trigger,<PRE> and <CTL> left baggage claim seeking onward transport after the airport shuttle was canceled without a replacement. <AGT> clearly directed <PNT> toward the taxi rank.,<PRE> and <CTL> left baggage claim seeking onward transport after the airport shuttle was canceled without a replacement. <PNT> was clearly directed by <AGT> toward the taxi rank.
flv_063,travel_public,common,core,balanced_shared_predicate,yes,not_normed,shared_resource,<PRE> and <CTL> noticed that the sightseeing boat still had two open places before its final harbor departure. <AGT> casually invited <PNT> onto the sightseeing boat.,<PRE> and <CTL> noticed that the sightseeing boat still had two open places before its final harbor departure. <PNT> was casually invited by <AGT> onto the sightseeing boat.
flv_064,travel_public,common,core,balanced_shared_predicate,yes,not_normed,shared_occasion,<PRE> and <CTL> planned to compare route options at the public map board after separate errands in the square. <AGT> slowly approached <PNT> near the public map board.,<PRE> and <CTL> planned to compare route options at the public map board after separate errands in the square. <PNT> was slowly approached by <AGT> near the public map board.
flv_065,travel_public,common,core,balanced_shared_predicate,yes,not_normed,shared_goal,"<PRE> and <CTL> needed to reach the riverside exhibition before its timed entry, with the pedestrian bridge providing the direct route. <AGT> quietly accompanied <PNT> across the pedestrian bridge.","<PRE> and <CTL> needed to reach the riverside exhibition before its timed entry, with the pedestrian bridge providing the direct route. <PNT> was quietly accompanied by <AGT> across the pedestrian bridge."
flv_066,travel_public,common,core,balanced_shared_predicate,yes,not_normed,shared_preparation,<PRE> and <CTL> began purchasing two identical day passes from the station ticket machine before the next tram arrived. <AGT> readily assisted <PNT> at the ticket machine.,<PRE> and <CTL> began purchasing two identical day passes from the station ticket machine before the next tram arrived. <PNT> was readily assisted by <AGT> at the ticket machine.
flv_067,travel_public,common,core,balanced_shared_predicate,yes,not_normed,shared_followup_need,<PRE> and <CTL> planned to confirm their connection after construction diverted the approach route toward opposite sides of the station. <AGT> discreetly signaled <PNT> from the opposite platform.,<PRE> and <CTL> planned to confirm their connection after construction diverted the approach route toward opposite sides of the station. <PNT> was discreetly signaled by <AGT> from the opposite platform.
flv_068,travel_public,common,core,balanced_shared_predicate,yes,not_normed,shared_trigger,<PRE> and <CTL> set off toward the station's east exit after an announcement moved their connecting bus to the adjoining street. <AGT> confidently led <PNT> through the station arcade.,<PRE> and <CTL> set off toward the station's east exit after an announcement moved their connecting bus to the adjoining street. <PNT> was confidently led by <AGT> through the station arcade.
flv_069,travel_public,common,core,balanced_shared_predicate,yes,not_normed,shared_trigger,<PRE> and <CTL> waited for the same train as staff prepared to announce a late platform change. <AGT> quietly notified <PNT> of the platform change.,<PRE> and <CTL> waited for the same train as staff prepared to announce a late platform change. <PNT> was quietly notified by <AGT> of the platform change.
flv_070,travel_public,uncommon,salience_challenge,pre_last_separate_predicates,no,not_normed,shared_preparation,"<CTL> secured one dry bag beside the shared rowboat, while <PRE> secured another dry bag beside the shared rowboat. <AGT> steadily ferried <PNT> across the lake to the trailhead.","<CTL> secured one dry bag beside the shared rowboat, while <PRE> secured another dry bag beside the shared rowboat. <PNT> was steadily ferried by <AGT> across the lake to the trailhead."
flv_071,travel_public,common,core,balanced_shared_predicate,yes,not_normed,shared_resource,<PRE> and <CTL> retrieved a reserved car-share vehicle after their delayed flight left too little time to walk between the terminals. <AGT> promptly transported <PNT> between the two terminals.,<PRE> and <CTL> retrieved a reserved car-share vehicle after their delayed flight left too little time to walk between the terminals. <PNT> was promptly transported by <AGT> between the two terminals.
flv_072,travel_public,common,core,balanced_shared_predicate,yes,not_normed,shared_resource,<PRE> and <CTL> picked up a rental car for a coastal excursion scheduled to begin before the scenic overlooks became crowded. <AGT> carefully drove <PNT> along the coast road.,<PRE> and <CTL> picked up a rental car for a coastal excursion scheduled to begin before the scenic overlooks became crowded. <PNT> was carefully driven by <AGT> along the coast road.
flv_073,travel_public,common,core,balanced_shared_predicate,yes,not_normed,shared_goal,<PRE> and <CTL> finished a civic theater tour with plans to continue to the riverside district by tram. <AGT> casually accompanied <PNT> to the tram stop.,<PRE> and <CTL> finished a civic theater tour with plans to continue to the riverside district by tram. <PNT> was casually accompanied by <AGT> to the tram stop.
flv_074,travel_public,common,core,balanced_shared_predicate,yes,not_normed,shared_occasion,<PRE> and <CTL> arranged to meet beside the departure board after completing independent errands inside the station. <AGT> eventually joined <PNT> beside the departure board.,<PRE> and <CTL> arranged to meet beside the departure board after completing independent errands inside the station. <PNT> was eventually joined by <AGT> beside the departure board.
flv_075,travel_public,common,core,balanced_shared_predicate,yes,not_normed,shared_trigger,<PRE> and <CTL> hurried toward the same departure gate after a short connection left little time to cross the terminal. <AGT> quickly overtook <PNT> on the moving walkway.,<PRE> and <CTL> hurried toward the same departure gate after a short connection left little time to cross the terminal. <PNT> was quickly overtaken by <AGT> on the moving walkway.
flv_076,travel_public,common,core,balanced_shared_predicate,yes,not_normed,shared_occasion,<PRE> and <CTL> arranged a curbside meeting outside the terminal cafe before traveling together to their next stop. <AGT> loudly hailed <PNT> outside the terminal cafe.,<PRE> and <CTL> arranged a curbside meeting outside the terminal cafe before traveling together to their next stop. <PNT> was loudly hailed by <AGT> outside the terminal cafe.
flv_077,travel_public,common,core,balanced_shared_predicate,yes,not_normed,shared_trigger,<PRE> and <CTL> planned the same onward journey before a transit alert announced an unexpected route change. <AGT> promptly contacted <PNT> after the route changed.,<PRE> and <CTL> planned the same onward journey before a transit alert announced an unexpected route change. <PNT> was promptly contacted by <AGT> after the route changed.
flv_078,travel_public,common,core,balanced_shared_predicate,yes,not_normed,shared_goal,<PRE> and <CTL> decided to watch the vessel leave harbor from the upper deck before the boarding lounge closed. <AGT> quietly accompanied <PNT> to the upper deck.,<PRE> and <CTL> decided to watch the vessel leave harbor from the upper deck before the boarding lounge closed. <PNT> was quietly accompanied by <AGT> to the upper deck.
